,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PLTR220121C00002500,2021-09-22 15:32:34,2.5,25.05,0.0,0.0,0.0,0.0,15,0,1.0000000000000003e-05,True,REGULAR,USD
1,PLTR220121C00005000,2021-09-22 17:37:45,5.0,22.45,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
2,PLTR220121C00007500,2021-09-22 14:41:32,7.5,20.0,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
3,PLTR220121C00010000,2021-09-22 18:51:43,10.0,17.51,0.0,0.0,0.0,0.0,23,0,1.0000000000000003e-05,True,REGULAR,USD
4,PLTR220121C00012500,2021-09-22 15:39:20,12.5,15.1,0.0,0.0,0.0,0.0,8,0,1.0000000000000003e-05,True,REGULAR,USD
5,PLTR220121C00015000,2021-09-22 19:05:18,15.0,12.62,0.0,0.0,0.0,0.0,32,0,1.0000000000000003e-05,True,REGULAR,USD
6,PLTR220121C00017500,2021-09-22 17:26:16,17.5,10.33,0.0,0.0,0.0,0.0,107,0,1.0000000000000003e-05,True,REGULAR,USD
7,PLTR220121C00019000,2021-09-22 13:36:44,19.0,8.56,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
8,PLTR220121C00020000,2021-09-22 19:40:21,20.0,8.09,0.0,0.0,0.0,0.0,170,0,1.0000000000000003e-05,True,REGULAR,USD
9,PLTR220121C00021000,2021-09-22 16:06:08,21.0,7.4,0.0,0.0,0.0,0.0,13,0,1.0000000000000003e-05,True,REGULAR,USD
10,PLTR220121C00022000,2021-09-22 19:50:15,22.0,6.46,0.0,0.0,0.0,0.0,79,0,1.0000000000000003e-05,True,REGULAR,USD
11,PLTR220121C00023000,2021-09-22 19:58:15,23.0,5.69,0.0,0.0,0.0,0.0,19,0,1.0000000000000003e-05,True,REGULAR,USD
12,PLTR220121C00024000,2021-09-22 19:34:52,24.0,5.1,0.0,0.0,0.0,0.0,134,0,1.0000000000000003e-05,True,REGULAR,USD
13,PLTR220121C00025000,2021-09-22 19:58:22,25.0,4.45,0.0,0.0,0.0,0.0,1342,0,1.0000000000000003e-05,True,REGULAR,USD
14,PLTR220121C00026000,2021-09-22 19:28:38,26.0,3.93,0.0,0.0,0.0,0.0,329,0,1.0000000000000003e-05,True,REGULAR,USD
15,PLTR220121C00027000,2021-09-22 19:59:39,27.0,3.36,0.0,0.0,0.0,0.0,485,0,1.0000000000000003e-05,True,REGULAR,USD
16,PLTR220121C00028000,2021-09-22 19:54:44,28.0,2.93,0.0,0.0,0.0,0.0,594,0,0.015634843750000002,False,REGULAR,USD
17,PLTR220121C00029000,2021-09-22 19:41:07,29.0,2.58,0.0,0.0,0.0,0.0,239,0,0.0312596875,False,REGULAR,USD
18,PLTR220121C00030000,2021-09-22 19:58:41,30.0,2.18,0.0,0.0,0.0,0.0,2382,0,0.0312596875,False,REGULAR,USD
19,PLTR220121C00031000,2021-09-22 19:56:20,31.0,1.9,0.0,0.0,0.0,0.0,638,0,0.062509375,False,REGULAR,USD
20,PLTR220121C00032000,2021-09-22 19:51:16,32.0,1.66,0.0,0.0,0.0,0.0,189,0,0.062509375,False,REGULAR,USD
21,PLTR220121C00033000,2021-09-22 18:29:54,33.0,1.5,0.0,0.0,0.0,0.0,50,0,0.062509375,False,REGULAR,USD
22,PLTR220121C00034000,2021-09-22 19:33:43,34.0,1.24,0.0,0.0,0.0,0.0,178,0,0.12500875,False,REGULAR,USD
23,PLTR220121C00035000,2021-09-22 19:58:01,35.0,1.08,0.0,0.0,0.0,0.0,994,0,0.12500875,False,REGULAR,USD
24,PLTR220121C00036000,2021-09-22 19:00:10,36.0,0.92,0.0,0.0,0.0,0.0,283,0,0.12500875,False,REGULAR,USD
25,PLTR220121C00037000,2021-09-22 19:47:57,37.0,0.83,0.0,0.0,0.0,0.0,181,0,0.12500875,False,REGULAR,USD
26,PLTR220121C00038000,2021-09-22 16:32:46,38.0,0.72,0.0,0.0,0.0,0.0,152,0,0.12500875,False,REGULAR,USD
27,PLTR220121C00039000,2021-09-22 19:35:26,39.0,0.65,0.0,0.0,0.0,0.0,192,0,0.12500875,False,REGULAR,USD
28,PLTR220121C00040000,2021-09-22 19:59:06,40.0,0.56,0.0,0.0,0.0,0.0,1881,0,0.12500875,False,REGULAR,USD
29,PLTR220121C00041000,2021-09-22 19:30:11,41.0,0.51,0.0,0.0,0.0,0.0,49,0,0.12500875,False,REGULAR,USD
30,PLTR220121C00042000,2021-09-22 18:30:35,42.0,0.48,0.0,0.0,0.0,0.0,121,0,0.12500875,False,REGULAR,USD
31,PLTR220121C00043000,2021-09-22 19:36:54,43.0,0.42,0.0,0.0,0.0,0.0,14,0,0.12500875,False,REGULAR,USD
32,PLTR220121C00045000,2021-09-22 19:51:42,45.0,0.34,0.0,0.0,0.0,0.0,183,0,0.2500075,False,REGULAR,USD
33,PLTR220121C00047000,2021-09-22 19:17:39,47.0,0.28,0.0,0.0,0.0,0.0,78,0,0.2500075,False,REGULAR,USD
34,PLTR220121C00050000,2021-09-22 19:52:23,50.0,0.23,0.0,0.0,0.0,0.0,442,0,0.2500075,False,REGULAR,USD
35,PLTR220121C00055000,2021-09-22 19:31:31,55.0,0.17,0.0,0.0,0.0,0.0,52,0,0.2500075,False,REGULAR,USD
36,PLTR220121C00060000,2021-09-22 19:54:09,60.0,0.12,0.0,0.0,0.0,0.0,68,0,0.2500075,False,REGULAR,USD
37,PLTR220121C00065000,2021-09-22 19:58:20,65.0,0.11,0.0,0.0,0.0,0.0,374,0,0.2500075,False,REGULAR,USD
